x (m),y (m),t (s)
0,0.22,0
0.035,0.315,0.04
0.1395,0.3915,0.066
0.3005,0.4715,0.116
0.4475,0.5395,0.133
0.5985,0.5825,0.174
0.7425,0.6195,0.199
0.8895,0.65,0.241
1.0495,0.6565,0.266
1.1925,0.6495,0.299
1.3125,0.6345,0.341
1.4735,0.6315,0.366
1.5815,0.5915,0.408
