x (m),y (m),t (s)
0,0.22,0
0.2615,0.3495,0.032
0.6015,0.5365,0.066
0.795,0.5715,0.132
0.9695,0.5915,0.156
1.1345,0.6115,0.176
1.1555,0.6035,0.189
1.3095,0.6015,0.222
1.4495,0.6005,0.243
1.4615,0.5985,0.256
1.6005,0.5875,0.276
1.7395,0.5495,0.323
1.8855,0.5215,0.342
