y(m),t(s),
0.9,0,14.28
0.88,0.067,14.347
0.81,0.101,14.381
0.76,0.166,14.446
0.695,0.168,14.448
0.64,0.233,14.513
0.558,0.235,14.515
0.47,0.299,14.579
0.3,0.302,14.582
0.21,0.366,14.646
0.19,0.368,14.648
0.1,0.433,14.713
0,0.435,14.715
