x (m),y (m),t (s)
0,0.22,0
0.095,0.3565,0.033
0.2855,0.4495,0.066
0.4495,0.5295,0.099
0.6155,0.5885,0.13
0.7755,0.6255,0.167
0.9195,0.6675,0.195
1.055,0.67,0.233
1.225,0.7,0.262
1.3295,0.68,0.296
1.535,0.67,0.333
1.6415,0.665,0.362
1.785,0.65,0.4
