y(m),t(s),
0.9,0,14.285
0.89,0.03,14.315
0.87,0.067,14.352
0.84,0.097,14.382
0.79,0.133,14.418
0.72,0.164,14.449
0.65,0.2,14.485
0.57,0.231,14.516
0.48,0.266,14.551
0.38,0.298,14.583
0.27,0.333,14.618
0.16,0.365,14.65
0.04,0.399,14.684
