x (m),y (m),t (s)
0,0,0
0.105,0.345,0.0195
0.11,0.347,0.0395
0.3,0.41,0.0445
0.495,0.465,0.0945
0.6455,0.4855,0.1015
0.657,0.505,0.1395
0.8295,0.5195,0.1415
0.969,0.545,0.1745
1.115,0.529,0.2095
1.259,0.52,0.2395
1.2695,0.5215,0.2425
1.399,0.491,0.2745
