x (m),y (m),t (s)
0,0.22,0
0.3195,0.3795,0.011
0.6045,0.4655,0.019
0.6215,0.4715,0.084
0.7895,0.4995,0.117
0.9195,0.5165,0.15
0.9895,0.5195,0.153
1.0895,0.5155,0.186
1.2435,0.5115,0.219
1.4055,0.4895,0.252
1.5645,0.4515,0.285
1.7095,0.4295,0.318
1.8495,0.3595,0.351
