y(m),t(s),
0.9,0,59
0.89,0.036,59.036
0.88,0.067,59.067
0.845,0.103,59.103
0.79,0.134,59.134
0.735,0.169,59.169
0.67,0.201,59.201
0.6,0.236,59.236
0.51,0.267,59.267
0.42,0.303,59.303
0.31,0.334,59.334
0.2,0.37,59.37
0.09,0.4,59.4
