y(m),t(s),
0.9,0,20.767
0.88,0.012,20.779
0.83,0.067,20.834
0.78,0.079,20.846
0.73,0.134,20.901
0.66,0.145,20.912
0.58,0.201,20.968
0.49,0.212,20.979
0.38,0.268,21.035
0.28,0.278,21.045
0.16,0.335,21.102
0.095,0.34,21.107
0.03,0.345,21.112
