y(m),t(s),
0.9,0,51.811
0.89,0.013,51.824
0.85,0.067,51.878
0.79,0.08,51.891
0.73,0.134,51.945
0.67,0.146,51.957
0.59,0.201,52.012
0.5,0.213,52.024
0.4,0.268,52.079
0.29,1.089,52.9
0.18,0.335,52.146
0.6,0.346,52.157
0,0.376,52.187
