y(m),t(s),
0.9,0,34.741
0.89,0.039,34.78
0.88,0.067,34.808
0.84,0.106,34.847
0.8,0.133,34.874
0.74,0.173,34.914
0.67,0.2,34.941
0.59,0.24,34.981
0.5,0.266,35.007
0.41,0.307,35.048
0.31,0.333,35.074
0.2,0.374,35.115
0.09,0.399,35.14
