x (m),y (m),t (s)
0,0,0
0.075,0.335,0.037
0.246,0.40956,0.072
0.40412,0.4712,0.106
0.6415,0.5395,0.139
0.8245,0.5691,0.173
0.9895,0.5985,0.207
1.1695,0.6215,0.241
1.3145,0.6175,0.274
1.4665,0.6015,0.308
1.6245,0.5695,0.342
1.7575,0.5525,0.376
1.9095,0.5295,0.409
