x (m),y (m),t (s)
0,0.22,0
0.1595,0.345,0.064
0.371,0.423,0.066
0.6195,0.505,0.131
0.8075,0.5675,0.133
0.90125,0.5825,0.1655
0.995,0.5975,0.198
1.1875,0.6175,0.199
1.3475,0.6215,0.265
1.5125,0.62,0.266
1.687,0.619,0.332
1.68825,0.615,0.349
1.6895,0.611,0.366
