x (m),y (m),t (s)
0,0.22,0
0.045,0.2875,0.033
0.21,0.3945,0.067
0.4145,0.4555,0.1
0.5935,0.5205,0.134
0.7615,0.5695,0.167
0.9395,0.595,0.201
1.1055,0.619,0.235
1.2552,0.631,0.268
1.4325,0.615,0.302
1.5715,0.5845,0.335
1.7195,0.5595,0.369
1.8745,0.5195,0.401
