x (m),y (m),t (s)
0,0.22,0
0.0012,0.261,0.038
0.1715,0.3395,0.066
0.3915,0.4325,0.105
0.6295,0.5225,0.133
0.8495,0.5915,0.172
1.0545,0.6125,0.199
1.2525,0.6425,0.239
1.4375,0.6595,0.266
0.6175,0.6695,0.306
1.7825,0.6695,0.332
1.9125,0.6554,0.373
1.9915,0.65,0.349
