x (m),y (m),t (s)
0,0.22,0
0.3115,0.1015,0.028
0.325,0.415,0.062
0.3895,0.5315,0.096
0.58225,0.5365,0.1125
0.775,0.5415,0.129
0.9675,0.5675,0.163
1.1354,0.5995,0.197
1.3125,0.6125,0.231
1.4815,0.61,0.264
1.6315,0.5795,0.298
1.805,0.5615,0.331
1.9015,0.5425,0.364
