y(m),t(s),
0.9,0,4.525
0.893,0.027,4.552
0.887,0.064,4.589
0.88,0.094,4.619
0.872,0.13,4.655
0.85,0.161,4.686
0.81,0.197,4.722
0.756,0.228,4.753
0.69,0.263,4.788
0.645,0.295,4.82
0.573,0.33,4.855
0.489,0.362,4.887
0.39,0.396,4.921
