y(m),t(s),
0.9,0,28.42
0.89,0.002,28.422
0.86,0.067,28.487
0.83,0.068,28.488
0.77,0.134,28.554
0.7,0.135,28.555
0.63,0.201,28.621
0.47,0.268,28.688
0.25,0.333,28.753
0.19,0.335,28.755
0.13,0.336,28.756
0.065,0.368,28.788
0,0.4,28.82
